trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
156,False,"{'a': 0.1999999999999997, 'e': 0.0450492023935578}",25,9,25.468463819380293,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.1999999999999997, 'e': 0.04415716841969286}",20,3,0.8442483545371651,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
158,False,"{'a': 0.1999999999999997, 'e': 0.043282797901965896}",25,5,-8.713139685119284,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
159,False,"{'a': 0.1999999999999997, 'e': 0.042425741080511385}",20,14,2.719332452823728,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.1999999999999997, 'e': 0.04158565512117316}",25,8,11.299548382097488,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.1999999999999997, 'e': 0.04076220397836621}",25,9,28.759905776793442,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.1999999999999997, 'e': 0.039955058260653896}",20,0,30.370829798122454,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.1999999999999997, 'e': 0.039163895098987066}",20,6,23.48987836692968,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.1999999999999997, 'e': 0.038388398017552054}",25,10,22.19560644390489,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.1999999999999997, 'e': 0.0376282568071762}",20,3,13.225347022281735,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.1999999999999997, 'e': 0.036883167401239994}",20,9,-24.12253591701326,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
167,False,"{'a': 0.1999999999999997, 'e': 0.03615283175404641}",25,18,10.455421585206706,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.1999999999999997, 'e': 0.03543695772159864}",25,3,27.716866344901696,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.1999999999999997, 'e': 0.03473525894473856}",30,10,22.171723567392927,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,15,9.991064167021044,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,8,28.63664585529952,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,13,24.147343792510394,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,13,23.681409835721787,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,12,14.920540060072815,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,8,36.03425226943679,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,3,25.377914516286584,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,2,29.529879995000694,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,11,19.456712472487716,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,2,31.50025609549029,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",20,7,21.394521641043397,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",30,8,36.60843572032815,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",20,6,20.0586080200439,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",20,3,23.27539484118375,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",20,11,15.552253381590138,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",25,15,18.039132559585063,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",25,15,18.85419779718148,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",25,11,21.50811818662169,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",30,16,27.26379413584307,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",20,15,10.34382094597709,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
